lenght,ngram_count,entropy,type
continuous,continuous,continuous,discrete
,,,class
25.0,0.9030899869919435,4.053660689688185,dga
26.0,0.8450980400142568,3.9500637564362093,dga
12.0,2.9030899869919438,3.188721875540867,dga
9.0,15.023867217706147,2.94770277922009,legit
10.0,24.764260381085812,2.9219280948873623,legit
34.0,0.9030899869919435,3.5617480476936567,dga
11.0,25.992512101388876,3.095795255000934,legit
11.0,28.783555355630526,2.9139770731827523,legit
28.0,0.0,3.7534343861887853,dga
7.0,10.874906803311287,2.128085278891395,legit
26.0,0.3010299956639812,4.132944044980959,dga
25.0,3.1795517911651876,3.8332696895151077,dga
9.0,30.98824212336944,2.725480556997868,legit
14.0,0.0,3.3787834934861767,dga
26.0,1.4471580313422192,3.7192945256669785,dga
25.0,3.2600713879850747,4.003856189774724,dga
26.0,2.866877814337499,4.132944044980958,dga
7.0,7.759274429892656,2.128085278891395,legit
26.0,0.3010299956639812,4.23890125660263,dga
24.0,0.0,4.084962500721156,dga
14.0,4.321225485417176,3.3787834934861767,dga
9.0,23.20451823704664,2.725480556997868,legit
20.0,55.68262479279536,3.5086949695628418,legit
11.0,23.489792552278043,3.0271691184406193,legit
26.0,0.0,4.238901256602631,dga
17.0,30.409718974946102,3.1751231351134614,legit
26.0,1.9822712330395684,4.440636352673266,dga
26.0,1.6232492903979006,3.796217602590056,dga
11.0,17.383526260939988,3.0957952550009344,legit
7.0,9.295430672686777,2.8073549220576046,legit
7.0,6.495941542238383,2.5216406363433186,legit
26.0,0.3010299956639812,4.085055102756477,dga
24.0,1.7781512503836436,3.9701755214643457,dga
26.0,2.7535830588929064,4.209867121904035,dga
25.0,2.954242509439325,4.133660689688185,dga
34.0,1.6812412373755872,3.895423870280316,dga
8.0,5.288696260590256,2.75,legit
26.0,0.3010299956639812,4.132944044980958,dga
26.0,1.255272505103306,4.1619781796795525,dga
25.0,4.03342375548695,3.9238561897747246,dga
8.0,12.252984892011368,2.75,legit
11.0,16.969952111729285,3.0957952550009344,legit
19.0,43.68838224129713,3.6818808028034042,legit
34.0,0.3010299956639812,3.7411558556380653,dga
13.0,33.03421869659143,3.238901256602631,legit
27.0,0.6989700043360189,4.162294909570877,dga
7.0,8.523810415216406,2.8073549220576046,legit
15.0,41.36595313238491,3.2402239289418513,legit
25.0,3.4885507165004443,4.053660689688185,dga
12.0,0.0,2.751629167387823,dga
7.0,11.261729852818341,2.8073549220576046,legit
34.0,1.0791812460476249,3.4980775466236413,dga
24.0,2.3010299956639813,4.022055208874201,dga
13.0,25.498947857519294,2.931208948910323,legit
25.0,0.9030899869919435,4.083856189774724,dga
34.0,1.3424226808222062,3.881005488054638,dga
27.0,2.9822712330395684,4.254525464966177,dga
25.0,2.255272505103306,4.083856189774724,dga
12.0,24.408008381684017,3.084962500721156,legit
8.0,13.331364696989002,3.0,legit
8.0,18.48900035487734,2.1556390622295662,legit
10.0,0.6020599913279624,3.121928094887362,dga
8.0,11.102845164245418,2.75,legit
10.0,1.3010299956639813,3.121928094887362,dga
14.0,40.959896216876814,3.2359263506290334,legit
7.0,6.210286408141356,2.8073549220576046,legit
34.0,0.0,3.7748395917476723,dga
7.0,6.3484606358195235,2.8073549220576046,legit
26.0,2.2833012287035497,4.132944044980959,dga
14.0,34.114420227064755,3.039148671903071,legit
12.0,25.61557245785781,3.0220552088742005,legit
27.0,0.0,3.8245387807277758,dga
7.0,12.816879000092813,2.128085278891395,legit
24.0,2.623249290397901,4.251629167387823,dga
26.0,2.1583624920952498,4.23890125660263,dga
11.0,22.157092280447678,2.7321588913645702,legit
26.0,0.0,4.257756064128516,dga
26.0,13.230412964031183,3.9312089489103226,dga
28.0,0.0,3.9946803684089085,dga
14.0,30.361758236796287,2.9852281360342525,legit
7.0,4.964542466079137,2.8073549220576046,legit
9.0,17.202104199926758,2.94770277922009,legit
9.0,17.12335545260096,2.725480556997868,legit
16.0,4.646913208595694,2.9056390622295662,dga
11.0,2.1583624920952498,3.0271691184406193,dga
8.0,19.06279766799316,2.75,legit
12.0,22.63008448589818,3.188721875540867,legit
9.0,18.836542301570987,2.94770277922009,legit
15.0,25.12849076242968,3.3232314287976203,legit
34.0,0.3010299956639812,3.5827199159935703,dga
27.0,0.3010299956639812,3.9302703722934553,dga
27.0,2.3010299956639813,4.106377316818028,dga
9.0,17.665892266919563,3.169925001442312,legit
11.0,14.39378319367398,3.0957952550009344,legit
7.0,5.624900602204491,2.8073549220576046,legit
7.0,5.662969262737204,2.8073549220576046,legit
25.0,3.2833012287035497,4.133660689688185,dga
9.0,19.455444120868094,2.94770277922009,legit
27.0,0.47712125471966244,3.930270372293455,dga
8.0,9.701813400010582,2.5,legit
25.0,3.2253092817258633,3.863465189601646,dga
26.0,2.778151250383644,4.056020968057882,dga
25.0,0.0,3.939470570797251,dga
28.0,1.2304489213782739,4.151478922893308,dga
23.0,3.765817515309918,4.088779347361362,dga
27.0,2.167317334748176,4.134336113194452,dga
27.0,0.0,4.134336113194452,dga
25.0,2.6106601630898796,4.053660689688185,dga
9.0,1.0791812460476249,2.4193819456463714,dga
12.0,17.8996057078681,3.188721875540867,legit
27.0,3.0546130545568877,4.004344446367528,dga
27.0,0.9030899869919435,3.884155094595805,dga
11.0,29.657247807139136,3.0271691184406193,legit
25.0,0.47712125471966244,4.0536606896881855,dga
27.0,0.47712125471966244,3.763965742824082,dga
7.0,12.446951377527604,2.128085278891395,legit
28.0,1.0791812460476249,3.851823225551766,dga
25.0,0.0,3.8936606896881854,dga
11.0,20.13361885309409,2.7321588913645707,legit
27.0,3.9887372752888,4.106377316818028,dga
8.0,11.504342247265294,2.75,legit
8.0,12.312054515103112,2.5,legit
7.0,7.946247843036176,2.5216406363433186,legit
9.0,8.495680626350751,2.6416041678685933,legit
25.0,1.7481880270062005,4.023465189601646,dga
34.0,1.380211241711606,3.4441009888701277,dga
25.0,2.526339277389844,4.023465189601645,dga
19.0,34.7606377370957,3.1416354077249613,legit
34.0,1.0,3.6069129463198286,dga
11.0,19.28819826904032,3.0957952550009344,legit
8.0,9.23639949473108,2.5,legit
7.0,9.839636734597283,2.8073549220576046,legit
9.0,17.274414617026274,2.725480556997868,legit
25.0,3.989004615698537,4.243856189774723,dga
13.0,22.171469376102717,2.7192945256669794,legit
26.0,3.193124598354461,4.056020968057882,dga
7.0,5.761993954346794,2.2359263506290326,legit
10.0,25.622240573910393,3.121928094887362,legit
26.0,0.0,4.161978179679553,dga
7.0,7.502487425370624,2.8073549220576046,legit
26.0,0.6020599913279624,3.979097891134804,dga
9.0,22.76731582236384,3.169925001442312,legit
10.0,14.913905660799783,2.8464393446710154,legit
26.0,0.47712125471966244,3.931208948910322,dga
12.0,13.778933381982995,3.0220552088742,legit
14.0,18.764651891834642,2.7534343861887853,legit
27.0,1.4313637641589874,3.7919245392005063,dga
8.0,12.739480976367634,3.0,legit
13.0,13.70628526001571,3.3927474104487847,legit
10.0,18.68427838682079,2.9219280948873623,legit
15.0,40.48050768568203,3.506890595608518,legit
8.0,11.150989277134213,2.4056390622295662,legit
14.0,43.28109273314269,3.2359263506290334,legit
25.0,4.340206080040022,4.323856189774723,dga
10.0,22.986157415909553,2.721928094887362,legit
27.0,4.468347330412158,4.032303242743954,dga
